L1,ID1,L2,ID2
fireCompany,8X109,municipalCourt,3X5
fireCompany,1X11,municipalCourt,1X2
fireCompany,1X11,municipalCourt,1X4
fireCompany,11X110,municipalCourt,3X1
fireCompany,15X111,municipalCourt,3X2
fireCompany,15X111,municipalCourt,3X4
fireCompany,15X112,municipalCourt,3X7
fireCompany,15X113,municipalCourt,3X4
fireCompany,15X113,municipalCourt,3X6
fireCompany,8X114,municipalCourt,3X5
fireCompany,14X115,municipalCourt,4X1
fireCompany,14X116,municipalCourt,4X1
fireCompany,14X117,municipalCourt,4X1
fireCompany,14X117,municipalCourt,4X2
fireCompany,11X118,municipalCourt,3X1
fireCompany,11X119,municipalCourt,3X1
fireCompany,11X119,municipalCourt,3X2
fireCompany,11X119,municipalCourt,3X3
fireCompany,1X12,municipalCourt,1X3
fireCompany,1X12,municipalCourt,1X9
fireCompany,15X120,municipalCourt,3X4
fireCompany,13X121,municipalCourt,4X5
fireCompany,11X122,municipalCourt,3X5
fireCompany,15X123,municipalCourt,3X4
fireCompany,11X124,municipalCourt,3X3
fireCompany,11X124,municipalCourt,3X7
fireCompany,13X125,municipalCourt,4X4
fireCompany,13X125,municipalCourt,4X6
fireCompany,13X126,municipalCourt,4X3
fireCompany,13X126,municipalCourt,4X4
fireCompany,13X127,municipalCourt,4X4
fireCompany,14X128,municipalCourt,4X1
fireCompany,14X128,municipalCourt,4X2
fireCompany,14X129,municipalCourt,4X2
fireCompany,14X129,municipalCourt,4X6
fireCompany,3X13,municipalCourt,1X6
fireCompany,3X13,municipalCourt,1X9
fireCompany,14X130,municipalCourt,4X6
fireCompany,11X131,municipalCourt,3X1
fireCompany,15X132,municipalCourt,3X2
fireCompany,15X132,municipalCourt,3X4
fireCompany,15X132,municipalCourt,3X6
fireCompany,13X133,municipalCourt,4X4
fireCompany,13X134,municipalCourt,4X5
fireCompany,13X135,municipalCourt,4X3
fireCompany,14X136,municipalCourt,4X2
fireCompany,14X136,municipalCourt,4X3
fireCompany,13X137,municipalCourt,4X5
fireCompany,14X138,municipalCourt,4X2
fireCompany,14X138,municipalCourt,4X6
fireCompany,3X14,municipalCourt,1X8
fireCompany,3X14,municipalCourt,1X10
fireCompany,14X140,municipalCourt,4X3
fireCompany,13X142,municipalCourt,4X3
fireCompany,13X142,municipalCourt,4X4
fireCompany,13X143,municipalCourt,4X3
fireCompany,13X143,municipalCourt,4X4
fireCompany,14X144,municipalCourt,4X6
fireCompany,11X146,municipalCourt,3X3
fireCompany,15X147,municipalCourt,3X6
fireCompany,11X148,municipalCourt,3X5
fireCompany,8X149,municipalCourt,3X5
fireCompany,1X15,municipalCourt,1X1
fireCompany,13X150,municipalCourt,4X4
fireCompany,13X151,municipalCourt,4X2
fireCompany,13X151,municipalCourt,4X4
fireCompany,13X151,municipalCourt,4X6
fireCompany,14X152,municipalCourt,4X6
fireCompany,15X153,municipalCourt,3X5
fireCompany,15X153,municipalCourt,3X6
fireCompany,15X153,municipalCourt,3X8
fireCompany,14X154,municipalCourt,4X2
fireCompany,14X154,municipalCourt,4X6
fireCompany,13X155,municipalCourt,4X3
fireCompany,13X155,municipalCourt,4X4
fireCompany,15X156,municipalCourt,3X5
fireCompany,15X156,municipalCourt,3X6
fireCompany,15X156,municipalCourt,3X8
fireCompany,15X157,municipalCourt,3X4
fireCompany,15X157,municipalCourt,3X6
fireCompany,15X157,municipalCourt,3X8
fireCompany,13X158,municipalCourt,4X4
fireCompany,15X159,municipalCourt,3X6
fireCompany,15X159,municipalCourt,3X8
fireCompany,3X16,municipalCourt,1X6
fireCompany,14X160,municipalCourt,4X4
fireCompany,14X160,municipalCourt,4X6
fireCompany,8X161,municipalCourt,3X5
fireCompany,8X161,municipalCourt,3X8
fireCompany,14X162,municipalCourt,4X4
fireCompany,14X163,municipalCourt,4X1
fireCompany,14X163,municipalCourt,4X2
fireCompany,14X164,municipalCourt,4X6
fireCompany,13X165,municipalCourt,4X4
fireCompany,8X166,municipalCourt,3X5
fireCompany,8X166,municipalCourt,3X8
fireCompany,14X167,municipalCourt,4X6
fireCompany,8X168,municipalCourt,3X5
fireCompany,8X169,municipalCourt,3X8
fireCompany,6X17,municipalCourt,2X2
fireCompany,15X170,municipalCourt,3X4
fireCompany,8X172,municipalCourt,3X5
fireCompany,13X173,municipalCourt,3X7
fireCompany,13X173,municipalCourt,4X3
fireCompany,15X174,municipalCourt,3X4
fireCompany,15X175,municipalCourt,3X4
fireCompany,15X175,municipalCourt,3X7
fireCompany,15X175,municipalCourt,4X3
fireCompany,15X176,municipalCourt,3X4
fireCompany,1X18,municipalCourt,1X2
fireCompany,6X19,municipalCourt,2X1
fireCompany,6X19,municipalCourt,2X2
fireCompany,3X2,municipalCourt,1X4
fireCompany,3X2,municipalCourt,1X9
fireCompany,1X20,municipalCourt,1X1
fireCompany,1X20,municipalCourt,1X2
fireCompany,1X21,municipalCourt,1X3
fireCompany,3X22,municipalCourt,1X5
fireCompany,6X23,municipalCourt,1X7
fireCompany,1X24,municipalCourt,1X3
fireCompany,1X24,municipalCourt,1X9
fireCompany,3X25,municipalCourt,1X5
fireCompany,3X26,municipalCourt,1X8
fireCompany,6X27,municipalCourt,2X2
fireCompany,6X28,municipalCourt,1X10
fireCompany,6X29,municipalCourt,2X2
fireCompany,1X3,municipalCourt,1X1
fireCompany,1X3,municipalCourt,1X2
fireCompany,1X3,municipalCourt,1X9
fireCompany,6X30,municipalCourt,1X8
fireCompany,6X30,municipalCourt,1X10
fireCompany,6X31,municipalCourt,2X1
fireCompany,7X32,municipalCourt,2X1
fireCompany,7X33,municipalCourt,2X2
fireCompany,7X34,municipalCourt,1X7
fireCompany,7X34,municipalCourt,1X10
fireCompany,3X35,municipalCourt,1X3
fireCompany,3X35,municipalCourt,1X5
fireCompany,7X36,municipalCourt,1X7
fireCompany,7X37,municipalCourt,2X1
fireCompany,7X37,municipalCourt,2X2
fireCompany,7X38,municipalCourt,2X1
fireCompany,7X38,municipalCourt,2X2
fireCompany,7X39,municipalCourt,2X1
fireCompany,7X39,municipalCourt,2X2
fireCompany,3X4,municipalCourt,1X3
fireCompany,3X4,municipalCourt,1X9
fireCompany,3X40,municipalCourt,1X7
fireCompany,3X40,municipalCourt,1X10
fireCompany,7X41,municipalCourt,2X1
fireCompany,6X42,municipalCourt,2X1
fireCompany,3X43,municipalCourt,1X6
fireCompany,6X44,municipalCourt,2X2
fireCompany,7X45,municipalCourt,1X7
fireCompany,7X46,municipalCourt,2X2
fireCompany,6X47,municipalCourt,2X1
fireCompany,6X48,municipalCourt,2X1
fireCompany,6X49,municipalCourt,2X2
fireCompany,1X5,municipalCourt,1X1
fireCompany,7X50,municipalCourt,2X1
fireCompany,7X51,municipalCourt,2X1
fireCompany,7X52,municipalCourt,2X2
fireCompany,7X53,municipalCourt,2X1
fireCompany,6X54,municipalCourt,2X1
fireCompany,6X55,municipalCourt,2X2
fireCompany,7X56,municipalCourt,2X2
fireCompany,7X58,municipalCourt,2X1
fireCompany,7X58,municipalCourt,2X2
fireCompany,7X59,municipalCourt,2X2
fireCompany,1X6,municipalCourt,1X2
fireCompany,7X61,municipalCourt,2X1
fireCompany,3X7,municipalCourt,1X4
fireCompany,3X7,municipalCourt,1X9
fireCompany,8X76,municipalCourt,5X2
fireCompany,8X77,municipalCourt,5X2
fireCompany,8X78,municipalCourt,5X1
fireCompany,8X78,municipalCourt,5X2
fireCompany,8X79,municipalCourt,5X1
fireCompany,1X8,municipalCourt,1X1
fireCompany,1X8,municipalCourt,1X2
fireCompany,8X80,municipalCourt,5X1
fireCompany,8X81,municipalCourt,5X2
fireCompany,8X82,municipalCourt,5X2
fireCompany,8X83,municipalCourt,5X1
fireCompany,8X83,municipalCourt,5X2
fireCompany,8X84,municipalCourt,5X2
fireCompany,8X85,municipalCourt,5X1
fireCompany,8X85,municipalCourt,5X2
fireCompany,8X86,municipalCourt,5X1
fireCompany,8X87,municipalCourt,5X1
fireCompany,8X87,municipalCourt,5X2
fireCompany,1X9,municipalCourt,1X1
fireCompany,1X9,municipalCourt,1X2
fireCompany,11X1,municipalCourt,3X1
fireCompany,11X1,municipalCourt,3X6
fireCompany,1X18,municipalCourt,1X1
fireCompany,15X252,municipalCourt,3X7
fireCompany,13X270,municipalCourt,4X3
fireCompany,13X270,municipalCourt,4X4
fireCompany,14X288,municipalCourt,4X2
fireCompany,14X288,municipalCourt,4X3
fireCompany,6X41,municipalCourt,2X2
fireCompany,7X61,municipalCourt,2X1
fireCompany,8X8,municipalCourt,5X1
cityCouncil,1,municipalCourt,1X1
cityCouncil,1,municipalCourt,1X2
cityCouncil,2,municipalCourt,1X1
cityCouncil,2,municipalCourt,1X2
cityCouncil,2,municipalCourt,1X4
cityCouncil,2,municipalCourt,1X9
cityCouncil,3,municipalCourt,1X1
cityCouncil,3,municipalCourt,1X2
cityCouncil,3,municipalCourt,1X3
cityCouncil,3,municipalCourt,1X9
cityCouncil,4,municipalCourt,1X3
cityCouncil,4,municipalCourt,1X4
cityCouncil,4,municipalCourt,1X6
cityCouncil,4,municipalCourt,1X9
cityCouncil,5,municipalCourt,1X4
cityCouncil,5,municipalCourt,1X6
cityCouncil,6,municipalCourt,1X3
cityCouncil,6,municipalCourt,1X5
cityCouncil,6,municipalCourt,1X9
cityCouncil,7,municipalCourt,1X5
cityCouncil,7,municipalCourt,1X7
cityCouncil,8,municipalCourt,1X6
cityCouncil,8,municipalCourt,1X8
cityCouncil,8,municipalCourt,2X1
cityCouncil,8,municipalCourt,2X2
cityCouncil,9,municipalCourt,1X6
cityCouncil,9,municipalCourt,1X7
cityCouncil,9,municipalCourt,1X8
cityCouncil,9,municipalCourt,1X10
cityCouncil,10,municipalCourt,1X7
cityCouncil,11,municipalCourt,2X1
cityCouncil,11,municipalCourt,2X2
cityCouncil,12,municipalCourt,2X1
cityCouncil,12,municipalCourt,2X2
cityCouncil,13,municipalCourt,2X1
cityCouncil,14,municipalCourt,2X2
cityCouncil,15,municipalCourt,2X1
cityCouncil,15,municipalCourt,2X2
cityCouncil,16,municipalCourt,2X1
cityCouncil,16,municipalCourt,2X2
cityCouncil,17,municipalCourt,2X1
cityCouncil,17,municipalCourt,2X2
cityCouncil,18,municipalCourt,2X1
cityCouncil,19,municipalCourt,4X2
cityCouncil,19,municipalCourt,4X6
cityCouncil,20,municipalCourt,4X6
cityCouncil,21,municipalCourt,4X2
cityCouncil,21,municipalCourt,4X6
cityCouncil,22,municipalCourt,2X1
cityCouncil,22,municipalCourt,4X1
cityCouncil,22,municipalCourt,4X2
cityCouncil,23,municipalCourt,4X4
cityCouncil,23,municipalCourt,4X6
cityCouncil,24,municipalCourt,4X4
cityCouncil,24,municipalCourt,4X6
cityCouncil,25,municipalCourt,4X2
cityCouncil,25,municipalCourt,4X3
cityCouncil,26,municipalCourt,4X1
cityCouncil,26,municipalCourt,4X2
cityCouncil,27,municipalCourt,4X4
cityCouncil,28,municipalCourt,4X3
cityCouncil,28,municipalCourt,4X4
cityCouncil,29,municipalCourt,4X2
cityCouncil,29,municipalCourt,4X3
cityCouncil,29,municipalCourt,4X4
cityCouncil,29,municipalCourt,4X6
cityCouncil,30,municipalCourt,4X2
cityCouncil,30,municipalCourt,4X3
cityCouncil,30,municipalCourt,4X4
cityCouncil,31,municipalCourt,4X3
cityCouncil,31,municipalCourt,4X4
cityCouncil,31,municipalCourt,4X5
cityCouncil,32,municipalCourt,4X3
cityCouncil,32,municipalCourt,4X4
cityCouncil,32,municipalCourt,4X5
cityCouncil,33,municipalCourt,3X1
cityCouncil,33,municipalCourt,3X2
cityCouncil,33,municipalCourt,3X3
cityCouncil,34,municipalCourt,3X3
cityCouncil,34,municipalCourt,3X7
cityCouncil,34,municipalCourt,4X3
cityCouncil,35,municipalCourt,3X1
cityCouncil,35,municipalCourt,3X2
cityCouncil,35,municipalCourt,3X3
cityCouncil,35,municipalCourt,3X4
cityCouncil,35,municipalCourt,3X6
cityCouncil,36,municipalCourt,3X2
cityCouncil,36,municipalCourt,3X3
cityCouncil,36,municipalCourt,3X4
cityCouncil,37,municipalCourt,3X2
cityCouncil,37,municipalCourt,3X3
cityCouncil,37,municipalCourt,3X4
cityCouncil,37,municipalCourt,3X7
cityCouncil,38,municipalCourt,3X1
cityCouncil,38,municipalCourt,3X5
cityCouncil,39,municipalCourt,3X1
cityCouncil,39,municipalCourt,3X3
cityCouncil,39,municipalCourt,3X5
cityCouncil,39,municipalCourt,3X6
cityCouncil,40,municipalCourt,3X4
cityCouncil,40,municipalCourt,3X5
cityCouncil,40,municipalCourt,3X6
cityCouncil,41,municipalCourt,3X2
cityCouncil,41,municipalCourt,3X4
cityCouncil,41,municipalCourt,3X7
cityCouncil,42,municipalCourt,3X4
cityCouncil,42,municipalCourt,3X7
cityCouncil,43,municipalCourt,3X5
cityCouncil,43,municipalCourt,3X8
cityCouncil,44,municipalCourt,3X5
cityCouncil,44,municipalCourt,3X6
cityCouncil,44,municipalCourt,3X8
cityCouncil,45,municipalCourt,3X4
cityCouncil,45,municipalCourt,3X6
cityCouncil,45,municipalCourt,3X8
cityCouncil,46,municipalCourt,3X4
cityCouncil,46,municipalCourt,3X8
cityCouncil,47,municipalCourt,3X5
cityCouncil,47,municipalCourt,3X8
cityCouncil,48,municipalCourt,3X6
cityCouncil,48,municipalCourt,3X8
cityCouncil,49,municipalCourt,5X1
cityCouncil,49,municipalCourt,5X2
cityCouncil,50,municipalCourt,5X1
cityCouncil,50,municipalCourt,5X2
cityCouncil,51,municipalCourt,5X1
cityCouncil,51,municipalCourt,5X2
borough,Staten Island,schoolDistrict,31
borough,Bronx,schoolDistrict,8
borough,Bronx,schoolDistrict,10
borough,Bronx,schoolDistrict,12
borough,Bronx,schoolDistrict,7
borough,Bronx,schoolDistrict,11
borough,Bronx,schoolDistrict,9
borough,Brooklyn,schoolDistrict,18
borough,Brooklyn,schoolDistrict,23
borough,Brooklyn,schoolDistrict,32
borough,Brooklyn,schoolDistrict,21
borough,Brooklyn,schoolDistrict,17
borough,Brooklyn,schoolDistrict,15
borough,Brooklyn,schoolDistrict,13
borough,Brooklyn,schoolDistrict,14
borough,Brooklyn,schoolDistrict,16
borough,Brooklyn,schoolDistrict,20
borough,Brooklyn,schoolDistrict,22
borough,Brooklyn,schoolDistrict,19
borough,Queens,schoolDistrict,25
borough,Queens,schoolDistrict,28
borough,Queens,schoolDistrict,29
borough,Queens,schoolDistrict,30
borough,Queens,schoolDistrict,26
borough,Queens,schoolDistrict,24
borough,Queens,schoolDistrict,27
borough,Manhattan,schoolDistrict,15
borough,Manhattan,schoolDistrict,13
borough,Manhattan,schoolDistrict,4
borough,Manhattan,schoolDistrict,1
borough,Manhattan,schoolDistrict,3
borough,Manhattan,schoolDistrict,5
borough,Manhattan,schoolDistrict,6
borough,Manhattan,schoolDistrict,2
borough,Manhattan,schoolDistrict,10
fireCompany,1X1,stateSenate,27
fireCompany,1X1,stateSenate,28
fireCompany,1X10,stateSenate,26
fireCompany,1X14,stateSenate,28
fireCompany,1X15,stateSenate,26
fireCompany,8X151,stateSenate,24
fireCompany,8X152,stateSenate,23
fireCompany,8X153,stateSenate,23
fireCompany,8X153,stateSenate,24
fireCompany,8X155,stateSenate,23
fireCompany,8X155,stateSenate,24
fireCompany,8X156,stateSenate,23
fireCompany,8X156,stateSenate,24
fireCompany,8X157,stateSenate,23
fireCompany,8X157,stateSenate,24
fireCompany,8X158,stateSenate,23
fireCompany,8X158,stateSenate,24
fireCompany,8X159,stateSenate,24
fireCompany,3X16,stateSenate,27
fireCompany,3X16,stateSenate,28
