L1,L2,ID1,ID2
stateAssemblyDistrict,cityCouncil,71,7
stateAssemblyDistrict,cityCouncil,71,9
stateAssemblyDistrict,cityCouncil,71,10
stateAssemblyDistrict,cityCouncil,67,3
stateAssemblyDistrict,cityCouncil,67,4
stateAssemblyDistrict,cityCouncil,67,6
stateAssemblyDistrict,cityCouncil,75,2
stateAssemblyDistrict,cityCouncil,75,3
stateAssemblyDistrict,cityCouncil,75,4
stateAssemblyDistrict,cityCouncil,75,6
stateAssemblyDistrict,cityCouncil,74,1
stateAssemblyDistrict,cityCouncil,74,2
stateAssemblyDistrict,cityCouncil,74,4
stateAssemblyDistrict,cityCouncil,74,5
stateAssemblyDistrict,cityCouncil,74,33
stateAssemblyDistrict,cityCouncil,76,4
stateAssemblyDistrict,cityCouncil,76,5
stateAssemblyDistrict,cityCouncil,76,8
stateAssemblyDistrict,cityCouncil,76,22
stateAssemblyDistrict,cityCouncil,76,26
stateAssemblyDistrict,communityDistrict,52,302
stateAssemblyDistrict,communityDistrict,52,306
stateAssemblyDistrict,communityDistrict,52,307
stateAssemblyDistrict,communityDistrict,52,308
stateAssemblyDistrict,communityDistrict,52,355
stateAssemblyDistrict,communityDistrict,63,501
stateAssemblyDistrict,communityDistrict,63,502
stateAssemblyDistrict,communityDistrict,63,503
stateAssemblyDistrict,communityDistrict,70,109
stateAssemblyDistrict,communityDistrict,70,110
stateAssemblyDistrict,communityDistrict,70,111
stateAssemblyDistrict,communityDistrict,58,309
stateAssemblyDistrict,communityDistrict,58,316
stateAssemblyDistrict,communityDistrict,58,317
stateAssemblyDistrict,communityDistrict,58,318
stateAssemblyDistrict,communityDistrict,43,308
stateAssemblyDistrict,communityDistrict,43,309
stateAssemblyDistrict,communityDistrict,43,314
stateAssemblyDistrict,communityDistrict,43,317
stateAssemblyDistrict,communityDistrict,43,355
stateAssemblyDistrict,communityDistrict,56,301
stateAssemblyDistrict,communityDistrict,56,303
stateAssemblyDistrict,communityDistrict,56,304
